Relatorio de Producao x Defeitos
09/2021 ;Producao:;;
Data;Estab;Grupo Maquina;Centro Trabalho;Desc. Centro Trabalho;Defeito;Item;Un;Fornec;Nome Forn.;Qtde.;PPM;R$ Defeito;Refer.;Narrativa
02/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702327005     ;UN;       0;PEF.        ;      1,0000;              0,00000;    180,91;        ;Riscos                                  
03/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18102005827     ;UN;       0;PEF.        ;      1,0000;              0,00000;     40,05;        ;Lascados                                
03/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102171327     ;UN;       0;PEF.        ;      1,0000;              0,00000;    566,57;        ;Riscos                                  
08/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102110727     ;UN;       0;PEF.        ;      2,0000;              0,00000;    616,80;        ;Riscos                                  
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102002005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     37,49;        ;Riscos                                  
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102111405     ;UN;       0;PEF.        ;      1,0000;              0,00000;    108,33;        ;Riscos                                  
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102115505     ;UN;       0;PEF.        ;      1,0000;              0,00000;    163,04;        ;Riscos                                  
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102407605     ;UN;       0;PEF.        ;      4,0000;              0,00000;     98,24;        ;Riscos                                  
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;302;18102407605     ;UN;       0;PEF.        ;      1,0000;              0,00000;     24,56;        ;Quebrado                                
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18702078005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     31,29;        ;Lascados                                
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;302;18702234005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     32,88;        ;Quebrado                                
09/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18901299905     ;UN;       0;PEF.        ;      1,0000;              0,00000;    158,96;        ;Riscos                                  
10/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102115805     ;UN;       0;PEF.        ;      1,0000;              0,00000;    174,34;        ;Riscos                                  
10/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102177005     ;UN;       0;PEF.        ;      1,0000;              0,00000;    146,13;        ;Riscos                                  
10/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;302;18800001605     ;UN;       0;PEF.        ;     36,0000;              0,00000;    334,35;        ;Quebrado                                
13/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102003205     ;UN;       0;PEF.        ;      1,0000;              0,00000;     42,23;        ;Riscos                                  
13/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102003905     ;UN;       0;PEF.        ;      1,0000;              0,00000;     56,38;        ;Riscos                                  
13/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18102410605     ;UN;       0;PEF.        ;      1,0000;              0,00000;    109,49;        ;Lascados                                
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18102000227     ;UN;       0;PEF.        ;      1,0000;              0,00000;     91,69;        ;Lascados                                
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102000426     ;UN;       0;PEF.        ;      1,0000;              0,00000;     72,10;        ;Riscos                                  
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102000827     ;UN;       0;PEF.        ;      1,0000;              0,00000;     46,79;        ;Riscos                                  
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;308;18102003205     ;UN;       0;PEF.        ;      2,0000;              0,00000;     84,47;        ;Lapidação Ruim                          
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102115505     ;UN;       0;PEF.        ;      1,0000;              0,00000;    163,04;        ;Riscos                                  
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702122005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     38,92;        ;Riscos                                  
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702238005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     39,43;        ;Riscos                                  
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18702243005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     37,72;        ;Lascados                                
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702317005     ;UN;       0;PEF.        ;      1,0000;              0,00000;    147,19;        ;Riscos                                  
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702329005     ;UN;       0;PEF.        ;      1,0000;              0,00000;    193,53;        ;Riscos                                  
